ACID|MAX_ALWD_ADVN_LIM|ACCT_CRFILE_REF_ID|LF_CHRG_PEND_LINES|HEALTH_CODE|LAST_LF_CALC_DATE|LAST_AOD_AOS_DATE|RCRE_USER_ID|RCRE_TIME|LCHG_USER_ID|LCHG_TIME|DUE_DATE|EXT_DUE_DATE|ECGC_APPL_FLG|ECGC_DR_ACID|ACCT_STATUS|LST_ECGC_CAL_DATE|ACCT_STATUS_DATE|TS_CNT|RPC_ACCT_FLG|STICKY_DATE|DISB_IND|ENTITY_CRE_FLG|DEL_FLG|DELINK_ACID|INTERNAL_LIMIT_UPD_FLG|ACCT_CLS_REASON_CODE|COLLECTION_OFFICER|BANK_ID|NEXT_INACT_CHRG_CALC_DATE|NEXT_DORM_CHRG_CALC_DATE|NOTICE_DAYS
011426454|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:30.0|C10102|2019-03-06 02:50:59.0|||||A||2019-02-26 00:00:00.0|7||||Y|N|||||01|||0
011421108|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:09.0|C3166|2018-09-02 00:01:10.0|||||A||2018-08-27 00:00:00.0|6||||Y|N|||||01|||0
011426072|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:29.0|C3166|2018-11-23 01:16:52.0|||||A||2018-11-18 00:00:00.0|6||||Y|N|||||01|||0
011426082|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:29.0|C10102|2019-03-29 02:17:45.0|||||I||2019-03-29 00:00:00.0|7||||Y|N|||||01|2019-03-29 00:00:00.0||0
011421027|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:09.0|C8649|2018-11-16 00:32:09.0|||||A||2018-11-07 00:00:00.0|7||||Y|N|||||01|||0
011426443|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:30.0|C3166|2018-11-10 00:18:07.0|||||A||2018-11-01 00:00:00.0|8||||Y|N|||||01|2013-10-16 00:00:00.0||0
011426134|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:29.0|C5121|2018-12-29 01:41:23.0|||||I||2018-12-29 00:00:00.0|9||||Y|N|||||01|2018-12-29 00:00:00.0|2017-04-13 00:00:00.0|0
011421274|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:10.0|00862|2016-07-05 12:57:22.0|||||A||2015-10-20 00:00:00.0|4||||Y|N|||022||01|||0
011426038|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:29.0|C5121|2019-01-31 02:00:42.0|||||A||2019-01-18 00:00:00.0|6||||Y|N|||||01|||0
011421275|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:10.0|C2276|2016-01-15 23:37:28.0|||||D||2016-01-15 00:00:00.0|4||||Y|N|||||01|2015-01-14 00:00:00.0|2016-01-15 00:00:00.0|0
011426108|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:29.0|C8649|2018-10-27 00:10:19.0|||||A||2018-10-20 00:00:00.0|7||||Y|N|||||01|2013-10-01 00:00:00.0||0
011420709|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:08.0|C3166|2018-11-07 02:28:54.0|||||A||2018-11-05 00:00:00.0|6||||Y|N|||||01|||0
011424321|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:22.0|C8649|2018-09-07 01:45:12.0|||||A||2018-08-31 00:00:00.0|6||||Y|N|||||01|||0
011424341|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:22.0|C5121|2019-05-11 03:35:48.0|||||D||2019-05-11 00:00:00.0|9||||Y|N|||||01|2018-05-10 00:00:00.0|2019-05-11 00:00:00.0|0
011424374|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:22.0|C5121|2019-01-01 23:48:52.0|||||A||2018-11-28 00:00:00.0|7||||Y|N|||||01|2013-10-12 00:00:00.0||0
011420690|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:08.0|C4261|2018-03-25 00:21:35.0|||||D||2018-03-25 00:00:00.0|7||||Y|N|||||01|2017-03-23 00:00:00.0|2018-03-25 00:00:00.0|0
011420588|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:07.0|C11727|2019-08-05 00:27:51.0|||||A||2019-06-25 00:00:00.0|11||||Y|N|||||01|2017-12-28 00:00:00.0|2013-04-19 00:00:00.0|0
011420619|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:07.0|C5121|2019-04-10 02:27:06.0|||||A||2019-03-24 00:00:00.0|7||||Y|N|||||01|||0
011420516|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:07.0|C3166|2018-12-12 02:23:15.0|||||A||2018-12-10 00:00:00.0|6||||Y|N|||||01|||0
011420483|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:07.0|C8649|2018-12-03 00:08:34.0|||||A||2018-12-01 00:00:00.0|6||||Y|N|||||01|||0
011422017|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:13.0|C8649|2019-01-06 02:25:27.0|||||A||2018-12-18 00:00:00.0|8||||Y|N|||||01|2013-10-01 00:00:00.0|2014-10-02 00:00:00.0|0
011422169|99,999,999,999,999.99||0|01|||SYSTEM|2012-12-15 05:57:13.0|C10102|2019-08-22 02:39:37.0|||||I||2019-08-22 00:00:00.0|9||||Y|N|||||01|2019-08-22 00:00:00.0||0
