ACID|ENTITY_CRE_FLG|DEL_FLG|CHRGE_OFF_DATE|CHRGE_OFF_PRINCIPAL|PENDING_INTEREST|PRINCIPAL_RECOVERY|INTEREST_RECOVERY|DATE_NON_ACCRUE|INT_SUSPENSE_AMT|PENAL_INT_SUSPENSE_AMT|LCHG_USER_ID|LCHG_TIME|RCRE_USER_ID|RCRE_TIME|TS_CNT|REASON_CODE|ACCRUED_INT_RECOVERY|WAIVED_ACCRUED_AMT|COLLATERAL_VALUE|CHARGE_OFF_TYPE|MODE_OF_OPER|PROVISION_AMT|DEFERRED_INT_AMT|HLDY_PERD_INT_AMT|EMICAP_DEFERRED_INT|CHRGOFF_NONPASTDUE_FLG|BANK_ID|ACCRUED_PENAL_INT_RECOVERY|PENAL_INT_RECOVERY|COLL_INT_RECOVERY|COLL_PENAL_INT_RECOVERY
011854720|Y|N|2016-07-27 00:00:00.0|959.74|1,890|959.74|0||1,890|-1.8|06422|2016-07-27 11:30:25.0|SYSTEM|2012-12-15 09:04:40.0|469|2|0|0|26,000|F|C|0|0|0|0||01|0|0|4,348.29|0
011854722|Y|N||0|0|0|0||9,291.22|719.77|C10102|2019-08-23 03:32:03.0|SYSTEM|2012-12-15 09:04:40.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854723|Y|N||0|0|0|0||98,730.39|3,133.56|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:04:40.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854725|Y|N||0|0|0|0||87,883.08|0|02541|2013-03-08 15:16:58.0|SYSTEM|2012-12-15 09:04:40.0|1||0|0|0|||0|0|0|0||01|0|0|5,000|0
011854726|Y|N||0|0|0|0||25,089.62|1,192.52|C10102|2019-08-23 03:32:03.0|SYSTEM|2012-12-15 09:04:40.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854728|Y|N||0|0|0|0||117,270.56|7,171.25|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:04:40.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854730|Y|N|2012-12-13 00:00:00.0|0|0|0|0||0|0|SYSTEM|2012-12-15 09:04:40.0|SYSTEM|2012-12-15 09:04:40.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854732|Y|N|2015-02-02 00:00:00.0|3,960.21|2,687|3,960.21|0||2,687|0.27|04907|2015-02-02 11:51:19.0|SYSTEM|2012-12-15 09:04:40.0|812|2|0|0|44,070|F|C|0|0|0|0||01|0|0|3,963.43|0
011854733|Y|N|2016-07-28 00:00:00.0|6,651.93|12|6,651.93|0||0|0.29|07954|2016-07-28 19:51:11.0|SYSTEM|2012-12-15 09:04:40.0|81|2|0|0|45,639|F|C|0|0|0|0||01|0|0|1,288|0
011854734|Y|N||0|0|0|0||57,118.81|2,390.13|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:04:41.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854735|Y|N||0|0|0|0||85,661.96|3,931.32|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:04:41.0|2,501||0|0|0|||0|0|0|0||01|0|0|0|0
011854737|Y|N||0|0|0|0||42,873.17|2,140.81|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:04:41.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854739|Y|N||0|0|0|0||27,976.21|1,300.23|C10102|2019-08-23 03:32:18.0|SYSTEM|2012-12-15 09:04:41.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854744|Y|N||0|0|0|0||77,771.11|4,616.81|SYSTEM|2012-12-15 09:04:41.0|SYSTEM|2012-12-15 09:04:41.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854749|Y|N||0|0|0|0||108,409.5|5,513.32|SYSTEM|2012-12-15 09:04:42.0|SYSTEM|2012-12-15 09:04:42.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854750|Y|N|2016-07-28 00:00:00.0|3,000|373,287.28|3,000|0||373,287.28|-0.1|07954|2016-07-28 19:52:40.0|SYSTEM|2012-12-15 09:04:42.0|17||0|0|2,000,000|F|C|0|0|0|0||01|0|0|892,505.1|0
011854751|Y|N||0|0|0|0||50,105.78|3,833.56|SYSTEM|2012-12-15 09:04:42.0|SYSTEM|2012-12-15 09:04:42.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854753|Y|N||0|0|0|0||98,407.8|106|SYSTEM|2012-12-15 09:04:42.0|SYSTEM|2012-12-15 09:04:42.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854760|Y|N||0|0|0|0||858,209.21|30,232.59|C10102|2019-08-23 03:32:03.0|SYSTEM|2012-12-15 09:04:42.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854774|Y|N||0|0|0|0||158,768.52|0.31|C10102|2019-08-23 03:31:51.0|SYSTEM|2012-12-15 09:04:43.0|2,501||0|0|0|||0|0|0|0||01|0|0|81,062.67|0
011854782|Y|N|2016-02-02 00:00:00.0|550|26,597.26|550|0||26,597.26|-4.12|06422|2016-02-02 12:21:50.0|SYSTEM|2012-12-15 09:04:43.0|1,186|2|0|0|0|F|C|0|0|0|0||01|0|0|0|0
011854786|Y|N||0|0|0|0||39,095.2|1,345.43|C10102|2019-08-23 03:31:58.0|SYSTEM|2012-12-15 09:04:43.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854790|Y|N||0|0|0|0||66,672.84|5,506.19|SYSTEM|2012-12-15 09:04:43.0|SYSTEM|2012-12-15 09:04:43.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854791|Y|N||0|0|0|0||170,781.89|4,633.12|C10102|2019-08-23 03:31:57.0|SYSTEM|2012-12-15 09:04:43.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854792|Y|N||0|0|0|0||344,435.57|22,169.46|SYSTEM|2012-12-15 09:04:43.0|SYSTEM|2012-12-15 09:04:43.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854793|Y|N||0|0|0|0||342,133.4|24,449.71|SYSTEM|2012-12-15 09:04:43.0|SYSTEM|2012-12-15 09:04:43.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854794|Y|N|2015-12-05 00:00:00.0|109,842.5|298,524|109,842.5|0||298,524|-0.3|06422|2015-12-05 12:22:49.0|SYSTEM|2012-12-15 09:04:43.0|18|2|0|0|0|F|C|0|0|0|0||01|0|0|117,935|0
011854796|Y|N|2019-04-11 00:00:00.0|23,540|132,872|23,540|0||132,872|6.43|11322|2019-04-11 17:55:59.0|SYSTEM|2012-12-15 09:04:43.0|84|2|0|0|0|F|C|0|0|0|0||01|0|0|0|0
011854797|Y|N||0|0|0|0||0|547.5|SYSTEM|2012-12-15 09:04:44.0|SYSTEM|2012-12-15 09:04:44.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854798|Y|N||0|0|0|0||0|0|SYSTEM|2012-12-15 09:04:44.0|SYSTEM|2012-12-15 09:04:44.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854800|Y|N||0|0|0|0||474,959.05|2,034.39|SYSTEM|2012-12-15 09:04:44.0|SYSTEM|2012-12-15 09:04:44.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854801|Y|N||0|0|0|0||135,766.57|5,939.4|SYSTEM|2012-12-15 09:04:44.0|SYSTEM|2012-12-15 09:04:44.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854802|Y|N||0|0|0|0||33,809.6|686.12|C10102|2019-08-23 03:31:57.0|SYSTEM|2012-12-15 09:04:44.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854803|Y|N|2012-06-25 00:00:00.0|11,099|0|0|0||0|0|SYSTEM|2012-12-15 09:04:44.0|SYSTEM|2012-12-15 09:04:44.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854804|Y|N|2012-06-25 00:00:00.0|0|0|0|0||0|0|SYSTEM|2012-12-15 09:04:44.0|SYSTEM|2012-12-15 09:04:44.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854812|Y|N||0|0|0|0||190,972.55|0|SYSTEM|2012-12-15 09:04:44.0|SYSTEM|2012-12-15 09:04:44.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854814|Y|N|2016-07-27 00:00:00.0|5,005.94|2,894|5,005.94|0||2,894|-0.65|07954|2016-07-27 19:17:39.0|SYSTEM|2012-12-15 09:04:44.0|12||0|0|55,000|F|C|0|0|0|0||01|0|0|2,653.73|0
011854815|Y|N|2015-12-07 00:00:00.0|706.43|165|706.43|0||0|-0.28|06422|2015-12-07 16:09:08.0|SYSTEM|2012-12-15 09:04:44.0|1,094|2|0|0|20,000|F|C|0|0|0|0||01|0|0|0|0
011854817|Y|N||0|0|0|0||84,640.45|0|02059|2012-12-29 16:38:13.0|SYSTEM|2012-12-15 09:04:45.0|1||0|0|0|||0|0|0|0||01|0|0|500|0
011854818|Y|N||0|0|0|0||18,524.61|1,420.91|C10102|2019-08-23 03:32:02.0|SYSTEM|2012-12-15 09:04:45.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854819|Y|N|2015-03-31 00:00:00.0|74,113|158,431|74,113|0||158,431|0.46|03736|2015-03-31 15:16:36.0|SYSTEM|2012-12-15 09:04:45.0|7|2|0|0|0|F|C|0|0|0|0||01|0|0|48,739|0
011854821|Y|N|2012-04-03 00:00:00.0|31,430|0|0|0||0|0|SYSTEM|2012-12-15 09:04:45.0|SYSTEM|2012-12-15 09:04:45.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854825|Y|N|2012-09-29 00:00:00.0|131.49|0|0|0||0|0|SYSTEM|2012-12-15 09:04:45.0|SYSTEM|2012-12-15 09:04:45.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854828|Y|N||0|0|0|0||33,635.89|1,373.92|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:04:45.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854829|Y|N||0|0|0|0||67,499.86|2,622.54|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:04:45.0|2,500||0|0|0|||0|0|0|0||01|0|0|0|0
011854831|Y|N||0|0|0|0||11,592.26|571.56|SYSTEM|2012-12-15 09:04:45.0|SYSTEM|2012-12-15 09:04:45.0|0||0|0|0|||0|0|0|0||01|0|0|0|0
011854832|Y|N||0|0|0|0||35,152.72|1,531.74|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:04:45.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854834|Y|N||0|0|0|0||19,602.48|742.06|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:04:45.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854835|Y|N||0|0|0|0||2,940.8|76.55|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:04:45.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854836|Y|N||0|0|0|0||5,162.3|177.98|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:04:45.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854837|Y|N||0|0|0|0||22,922.36|943.73|C10102|2019-08-23 03:32:35.0|SYSTEM|2012-12-15 09:04:45.0|2,499||0|0|0|||0|0|0|0||01|0|0|0|0
011854838|Y|N|2012-09-28 00:00:00.0|4,287|0|0|0||0|0|SYSTEM|2012-12-15 09:04:45.0|SYSTEM|2012-12-15 09:04:45.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854840|Y|N|2017-03-18 00:00:00.0|38,617|316,775.04|38,617|0||316,775.04|0.35|06422|2017-03-18 14:25:45.0|SYSTEM|2012-12-15 09:04:45.0|8|2|0|0|76,000|F|C|0|0|0|0||01|0|0|15,000|0
011854841|Y|N||0|0|0|0||0.83|0.01|C10102|2019-08-23 03:32:02.0|SYSTEM|2012-12-15 09:04:45.0|1,392||0|0|0|||0|0|0|0||01|0|0|0|0
011854843|Y|N||0|0|0|0||49,843.04|0|02541|2013-06-15 12:56:10.0|SYSTEM|2012-12-15 09:04:45.0|4||0|0|0|||0|0|0|0||01|0|0|12,000|0
011854844|Y|N|2012-09-28 00:00:00.0|13,722.32|0|0|0||0|0|SYSTEM|2012-12-15 09:04:46.0|SYSTEM|2012-12-15 09:04:46.0|0||0|0|0|F||0|0|0|0||01|0|0|0|0
011854845|Y|N|2016-07-28 00:00:00.0|59,649|117,328.16|59,649|0||117,328.16|0.44|07954|2016-07-28 19:51:57.0|SYSTEM|2012-12-15 09:04:46.0|12||0|0|1|F|C|0|0|0|0||01|0|0|44,000|0
