SCHM_CODE|DEL_FLG|SCHM_DESC|SYST_GEN_ACCT_NUM_FLG|ACCT_PREFIX|NEXT_ACCT_NUM_PREFIX|ACCT_OPN_FORM_NAME|ACCT_CLS_FORM_NAME|INT_PAID_BACID|INT_COLL_BACID|SERV_CHRG_BACID|TURNOVER_FREQ_TYPE|TURNOVER_FREQ_WEEK_NUM|TURNOVER_FREQ_WEEK_DAY|TURNOVER_FREQ_START_DD|TURNOVER_HLDY_STAT|TURNOVER_RCRE_DATE|GL_SUB_HEAD_CODE|TRAN_RPT_CODE_FLG|TRAN_REF_NUM_FLG|CHQ_ALWD_FLG|ACCT_TURNOVER_DET_FLG|SCHM_SUPR_USER_ID|TOT_MOD_TIMES|SERV_CHRG_COLL_FLG|BACK_DATE_TRAN_EXCP_CODE|VAL_DATE_TRAN_EXCP_CODE|INVALID_INSTRMNT_EXCP_CODE|STALE_INSTRMNT_EXCP_CODE|ACCT_FREZ_EXCP_CODE|ACCT_IN_DR_BAL_EXCP_CODE|ACCT_IN_CR_BAL_EXCP_CODE|CHQ_STOP_EXCP_CODE|CHQ_CAUTN_EXCP_CODE|CHQ_NOT_ISSU_EXCP_CODE|INVALID_RPT_CODE_EXCP_CODE|CLG_TRAN_EXCP_CODE|CASH_TRAN_EXCP_CODE|XFER_TRAN_EXCP_CODE|EMP_OWN_ACCT_EXCP_CODE|OVERRIDE_DEF_EXCP_CODE|INTROD_NOT_CUST_EXCP_CODE|INTROD_NEW_CUST_EXCP_CODE|CHQ_NOT_ALWD_EXCP_CODE|SI_PRE_FIX_CHRG_EXCP_CODE|DR_AGAINST_CC_EXCP_CODE|CLS_PEND_INT_EXCP_CODE|CLS_PEND_SI_EXCP_CODE|CLS_PEND_CC_EXCP_CODE|CLS_PEND_CHQ_EXCP_CODE|ACCT_OPN_MATRIX_EXCP_CODE|MEMO_PAD_EXISTS_EXCP_CODE|SANCT_LIM_EXP_EXCP_CODE|SANCT_EXCEED_LIM_EXCP_CODE|LIAB_EXCEED_GROUP_LIM_EXCP|ACCT_MAINT_FORM_NAME|OFTI_SCHM_RTN_NAME|MINOR_CHQ_ISSU_EXCP_CODE|NEW_ACCT_DURATION|DORM_ACCT_CRITERIA|MIN_POSTING_WORKCLASS|SCHM_TYPE|INT_PAID_FLG|INT_COLL_FLG|STAFF_SCHM_FLG|NRE_SCHM_FLG|MERGE_INT_PTRAN_FLG|LCHG_USER_ID|RCRE_USER_ID|LCHG_TIME|RCRE_TIME|MICR_CHQ_CHRG_BACID|INSUFF_AVAIL_BAL_EXCP_CODE|FD_CR_BACID|FD_DR_BACID|FX_TRAN_FLG|STP_CR_DR_IND|FCNR_FLG|INT_PANDL_BACID|PARKING_BACID|INT_PAID_COLL_CRNCY_FLG|CASH_WD_WO_CHQ_EXCP_CODE|ACCT_NAME_CHANGED_EXCP_CODE|XFER_IN_INT_DETAILS_FLG|ACCT_REFERENCE_EXCP_CODE|DR_OPER_ACCT_IF_NO_BAL_FLG|INT_DR_CUST_DIFF_EXCP_CODE|INT_CR_CUST_DIFF_EXCP_CODE|ISO_USER_TOD_GRNT_EXCP_CODE|ISO_AUTO_TOD_GRNT_EXCP_CODE|INTER_SOL_CLOSURE_ALWD_FLG|LEVY_TAX_PCNT_1|LEVY_TAX_PCNT_2|LEVY_TAX_PCNT_3|LEVY_TAX_DESC_1|LEVY_TAX_DESC_2|LEVY_TAX_DESC_3|LEVY_TAX_BACID_1|LEVY_TAX_BACID_2|LEVY_TAX_BACID_3|LEVY_TAX_MERGE_PTRAN_FLG|PEG_INT_FOR_AC_FLG|MOD_OF_PEG_INT_ALLOWED_FLG|PEG_REVIEW_PREF_FROM_CUST|DFLT_INT_PAR_CHNG_EXCP_CODE|CLS_PEND_REVERSAL_EXCP_CODE|CHQ_ISSUED_ACK_EXCP_CODE|ACCT_CLOSURE_CHRG_DAYS|ACCT_CLOSURE_CHRG_MNTHS|ACCT_MAINT_PERIOD|MIN_COMMIT_CHRG_UTIL_PCNT|COMMIT_CALC_METHOD|INACTIVE_ACCT_CHRG_DAYS|INACTIVE_ACCT_CHRG_MNTHS|DORMANT_ACCT_CHRG_DAYS|DORMANT_ACCT_CHRG_MNTHS|PARTITION_MANDATORY_FLG|BOOK_TRAN_SCRIPT|INTCALC_TRAN_SCRIPT|ADVANCE_INT_BACID|TDS_PARKING_BACID|PENAL_PANDL_BACID|DFLT_CLG_TRAN_CODE|DFLT_INST_TYPE|CHQ_UNUSABLE_EXCP_CODE|INT_PANDL_BACID_CR|INT_PANDL_BACID_DR|BEL_MIN_BAL_EXCP_CODE|PEN_CHRG_NCALC_EXCP_CODE|INT_FREQ_TYPE_CR|INT_FREQ_WEEK_NUM_CR|INT_FREQ_WEEK_DAY_CR|INT_FREQ_START_DD_CR|INT_FREQ_HLDY_STAT_CR|INT_FREQ_TYPE_DR|INT_FREQ_WEEK_NUM_DR|INT_FREQ_WEEK_DAY_DR|INT_FREQ_START_DD_DR|INT_FREQ_HLDY_STAT_DR|PD_GL_SUB_HEAD_CODE|PD_INT_CALC_EXCP_CODE|PD_DR_TRAN_EXCP_CODE|LIM_LEVEL_INT_FLG|EEFC_FLG|TS_CNT|CS_SCHM_MESG1|CS_SCHM_MESG2|PS_FREQ_TYPE|PS_FREQ_WEEK_NUM|PS_FREQ_WEEK_DAY|PS_FREQ_START_DD|PS_FREQ_HLDY_STAT|AUTO_RENEWAL_PERIOD_FLG|PRODUCT_GROUP|PRINCIPAL_LOSSLINE_BACID|RECOVER_LOSSLINE_BACID|CHRGE_OFF_BACID|DEALER_CONTR_BACID|INT_WAIVER_BACID|DAILY_COMP_INT_FLG|QIS_INT_FLG|STOCK_INT_FLG|UNVERIFIED_SPP_EXCP_CODE|OVDU_INT_PAID_BACID|OVDU_INT_PANDL_BACID_CR|COMP_DATE_FLG|DISC_RATE_FLG|START_DATE|END_DATE|SET_ID|CS_SCHM_NATL_MESG1|CS_SCHM_NATL_MESG2|STP_DR_INT_RECALC|STP_CR_INT_RECALC|FIXEDTERM_MNTHS|FIXEDTERM_YEARS|REPRICING_PLAN|REPRICING_FREQ_MNTHS|REPRICING_FREQ_DAYS|REPRICING_YEAR_IND|FLOAT_INT_TBL_CODE|REPRICING_EXCP_CODE|FLOAT_REPRICING_FREQ_MNTHS|FLOAT_REPRICING_FREQ_DAYS|SCRIPT_VALUE_DATE_EXCP_CODE|CUST_MIN_AGE|CUST_MAX_AGE|AGE_RANGE_EXCP_CODE|SCHM_SHORT_NAME|PREF_LANG_CODE|PREF_LANG_SCHM_DESC|PREF_LANG_SCHM_SHORT_NAME|TENOR_IND_FLG|RULE_CODE|SECURED_FLG|LOOKBACK_PERD_FOR_PASTDUE|BANK_ID|NEGATIVE_LIEN_EXCP_CODE|CHQ_REJECT_EXCP_CODE|PEN_COLL_FLG|SYN_AGENT_SCHEME|PEN_COLL_BACID|PRODUCT_CONCEPT|ACCT_LINKED_INVT_ID_EXCP_CODE|PENAL_INT_COLL_BACID|PAST_DUE_INT_COLL_BACID|PAST_DUE_PENAL_INT_COLL_BACID|SCHM_NATURE|PS_FREQ_CAL_BASE|ADDITIONAL_CAL_BASE|INT_FREQ_CAL_BASE_CR|INT_FREQ_CAL_BASE_DR|MUD_POOL_PROD_FLG|ALT1_SCHM_SHORT_NAME|ALT1_SCHM_DESC|PRODUCT_SRL_NUM|PRODUCT_ID|ISLAMIC_PRODUCT_TYPE|PRODUCT_TYPE|INT_COMPOUNDING_FRQ_CR|INT_COMPOUNDING_REST_FLG_CR|DISC_RATE_FLG_CR|KONFORMNA_FLG|OVERIDE_DEF_MIN_BAL_PARAM_EXCP|CHQ_PROV_BY_BANK_FLG|PRODUCT_CODE|INT_FREQ_MONTHS_DR|INT_FREQ_DAYS_DR
MIINT|N|GAIN4SURE FIXED DEP. MIP - CORPORATE|Y|70|ACNUM|tdfe3201|tdfe3250|253220058MIINT|||||0|0||||N|N|N|N||22|N|GI3|GJ2|||GF3||||||||||CH2|||||||CK3|CL3||||GY2||||tdff0009|TD_ofti_schm_rtn||0|0|011|TDA|Y|N|N|N|N|06247|SUR1|2015-06-15 17:29:58.0|2012-04-18 01:51:13.0|||||N|D|N||164010001|A||GD2|Y|GR3|Y|GG2|GH2|||Y|0|0|0||||||||Y|N|N|GZ2|CO3||0|0||0||0|0|0|0|||||259010001|||||311020014MIINT||||||0|0||||0|0||||||N|23|||||0|0||O|||||||N|N|N||253220014MIINT|311030014MIINT|||1943-08-06 00:00:00.0|2099-12-31 00:00:00.0|ALL|||||0|0||0|0||||0|0|GE5|0|999||MIP - COMPANY||||N|||0|01|GG5||||||||||N||00||||||||||N|||||N||0|0
MINRO|N|GAIN4SURE FIXED DEP. MIP-  NRO|Y|70|ACNUM|tdfe3201|tdfe3250|253220060MINRO|||||0|0||||N|N|N|N||24|N|GI3|GJ2|||GF3||||||||||CH2|||||||CK3|CL3||||GY2||||tdff0009|TD_ofti_schm_rtn||0|0|011|TDA|Y|N|N|Y|N|10772|SUR1|2018-04-01 23:02:54.0|2012-04-18 04:21:30.0|||||N|D|N||259960001|A||GD2|Y|GR3|Y|GG2|GH2|||Y|0|0|0||||||||Y|N|N|GZ2|CO3||0|0||0||0|0|0|0|||||259010001|||||311020016MINRO||||||0|0||||0|0||||||N|25|||||0|0||O|||||||N|N|N||253220016MINRO|311030016MINRO|||1943-08-06 00:00:00.0|2099-12-31 00:00:00.0|ALL|||||0|0||0|0||||0|0|GE5|0|999|GF6|MIP - NRO||||N|||0|01|GG5||||||||||N||00||||||||||N|||||N||0|0
MISNR|N|M I P SENIOR CITIZEN NRO|Y|70|ACNUM|tdfe3201|tdfe3250|253220061MISNR|||||0|0||||N|N|N|N||18|N|GI3|GJ2|||GF3||||||||||CH2|||||||CK3|CL3||||GY2||||tdff0009|TD_ofti_schm_rtn||0|0|011|TDA|Y|N|N|Y|N|02089|SUR1|2013-09-06 15:44:22.0|2012-04-18 04:56:12.0|||||N|D|N||164010003|A||GD2|Y|GR3|Y|GG2|GH2|||Y|0|0|0||||||||Y|N|N|GZ2|CO3||0|0||0||0|0|0|0|||||259010001|||||311020017MISNR||||||0|0||||0|0||||||N|19|||||0|0||O|||||||N|N|N||253220017MISNR|311030017MISNR|||1943-08-06 00:00:00.0|2013-09-06 00:00:00.0|ALL|||||0|0||0|0||||0|0|GE5|60|999|GF6|MIP - SRC NRO||||N|||0|01|GG5||||||||||N||00||||||||||N|||||N||0|0
CORDD|Y|HDFC DEMAND DRAFTS|N|||oaff0001|oaff0001||||||0|0||||N|N||||2||GI3|GJ3||GE3|||||||||GK1||||||||||||||||||oaff0001|DD_ofti_schm_rtn||0|0|011|DDA|||N|B||RAGAV2|RAGAV1|2012-04-25 06:22:01.0|2012-04-18 05:28:05.0|||||N||N|||||||||||||N|0|0|0||||||||||||||0|0||0||0|0|0|0||||||||||||||||0|0||||0|0|||||N|N|4|||||0|0|||||||||N|N|N||||||2002-01-01 00:00:00.0|2099-12-31 00:00:00.0|ALL|||||0|0||0|0||||0|0||0|0||CORDD|||||||0|01|||||||||||N||00||||||||||N|||||||0|0
MINRE|N|GAIN4SURE FIXED DEP. MIP  - NRE|Y|70|ACNUM|tdfe3201|tdfe3250|253220059MINRE|||||0|0||||N|N|N|N||21|N|GI3|GJ2|||GF3||||||||||CH2|||||||CK3|CL3||||GY2||||tdff0009|TD_ofti_schm_rtn||0|0|011|TDA|Y|N|N|Y|N|06247|SUR1|2015-06-15 17:30:08.0|2012-04-18 06:20:25.0|||||N|D|N||164010003|A||GD2|Y|GR3|Y|GG2|GH2|||Y|0|0|0||||||||Y|N|N|GZ2|CO3||0|0||0||0|0|0|0|||||259010001|||||311020015MINRE||||||0|0||||0|0||||||N|22|||||0|0||O|||||||N|N|N||253220015MINRE|311030015MINRE|||1943-08-06 00:00:00.0|2099-12-31 00:00:00.0|ALL|||||0|0||0|0||||0|0|GE5|0|999|GF6|MIP - NRE||||N|||0|01|GG5||||||||||N||00||||||||||N|||||N||0|0
RATDD|N|RAT DEMAND DRAFTS|N|||oaff0001|oaff0001||||||0|0||||N|N||||12||GI3|GJ3||GE3|||||||||GK1||||||||||||||||||oaff0001|DD_ofti_schm_rtn||0|0|011|DDA|||N|B||GANDHI1|RAGAV1|2012-12-03 17:33:55.0|2012-04-18 06:47:51.0|||||N||N|||||||||||||N|0|0|0||||||||||||||0|0||0||0|0|0|0||||||||||||||||0|0||||0|0|||||N|N|13|||||0|0|||||||||N|N|N||||||2002-01-01 00:00:00.0|2099-12-31 00:00:00.0|ALL|||||0|0||0|0||||0|0||0|0||RATDD|||||||0|01|||||||||||N||00||||||||||N|||||||0|0
MIPAP|N|GAIN4SURE FIXED DEP. MIP- DAYS - GENERAL|Y|70|ACNUM|tdfe3201|tdfe3250|253220090MIPAP|||||0|0||||N|N|N|N||20|N|GI3|GJ2|||GF3||||||||||CH2|||||||CK3|CL3||||GY2||||tdff0009|TD_ofti_schm_rtn||0|0|011|TDA|Y|N|N|N|N|02309|SUR1|2014-12-24 17:19:19.0|2012-04-18 06:49:31.0|||||N|D|N||164010001|A||GD2|Y|GR3|Y|GG2|GH2|||Y|0|0|0||||||||Y|N|N|GZ2|CO3||0|0||0||0|0|0|0|||||259010001|||||311020046MIPAP||||||0|0||||0|0||||||N|21|||||0|0||O|||||||N|N|N||253220096MIPAP|311030047MIPAP|||1943-08-06 00:00:00.0|2099-12-31 00:00:00.0|ALL|||||0|0||0|0||||0|0|GE5|0|60|GF5|MIP - GEN||||N|||0|01|GG5||||||||||N||00||||||||||N|||||N||0|0
WCDL|N|WORKING CAPITAL DEMAND LOAN|Y|90|ACNUM|lafe3201|lafe3250||162030055WCDL||||0|0||||N|N|N|N||29||GI3|GJ2|||GF3||GV2||||||GK1||||||||||||||GY1||GP2|GA2|laff0005|LA_ofti_schm_rtn||0|0|011|CLA||Y|N|N||11791|SACHIN1|2019-02-28 19:02:10.0|2012-04-18 06:59:42.0|||||N||N|||A||GD1||GR2||||||N|0|0|0||||||||Y||N|GZ2|||0|0||0||0|0|0|0||||||411130055WCDL|||||411060055WCDL|||||0|0||||0|0||14724|GC4|GD5||N|30|||||0|0||||149990055WCDL|420190003|147240001WCDL||411069998||||||||N|1900-01-01 00:00:00.0|2019-02-28 00:00:00.0|ALL|||||0|0|M|12|0|A||IK2|0|0||0|0||WCDL|INFENG||||||0|01||||N|162050055WCDL||||162080055WCDL|162130055WCDL|N||00|||||||||||||||||0|0
CLCVF|N|COMMERCIAL VEHICLE FINANCE|Y|90|ACNUM|lafe3201|lafe3250||162030022CLCVF||||0|0||||N|N|N|N||19||GI3|GJ2|||GF3||GV2||||||GK1||||||||||||||GY1||GP2|GA2|laff0005|LA_ofti_schm_rtn||0|0|011|CLA||Y|N|N||11791|SACHIN1|2019-02-28 18:21:24.0|2012-04-18 07:12:32.0|||||N||N|||A||GD1||GR2||||||Y|0|0|0||||||||Y||Y|GZ2|||0|0||0||0|0|0|0||||||411130022CLCVF|||||411060022CLCVF|||||0|0||||0|0||14691|GC4|GD5||N|20|||||0|0||||149990022CLCVF|420190003|146910001CLCVF||411069998||||||||N|1900-01-01 00:00:00.0|2099-12-31 00:00:00.0|ALL|||||0|0|M|12|0|A||IK2|0|0||0|0||CLCVF|INFENG||||||0|01||||N|162050022CLCVF||||162080022CLCVF|162130022CLCVF|N||00|||||||||||||||||0|0
DVLBL|N|DEVOLVED BILLS|Y|90|ACNUM|lafe3201|lafe3250||162020044DVLBL||||0|0||||N|N|N|N||13||GI3|GJ2|||GF3||GV2||||||GK1||||||||||||||GY1||GP2|GA2|laff0005|LA_ofti_schm_rtn||0|0|011|CLA||Y|N|N||11791|SACHIN1|2019-02-28 19:01:46.0|2012-04-18 07:19:40.0|||||N||N|||A||GD1||GR2||||||Y|0|0|0||||||||Y||N|GZ2|||0|0||0||0|0|0|0||||||411120025DVLBL|||||411050044DVLBL|||||0|0||||0|0||14592|GC4|GD5||N|14|||||0|0||||149970044DVLBL|420190001|145920001DVLBL||411069998||||||||N|1900-01-01 00:00:00.0|2019-02-28 00:00:00.0|ALL|||||0|0|M|12|0|A||IK2|0|0||0|0||DVLBL|INFENG||||||0|01||||N|162040001DVLBL||||162070025DVLBL|162040001DVLBL|N||00|||||||||||||||||0|0
